timestamp,flow_duration,src_ip,dst_ip,src_port,dst_port,protocol,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,syn_flag_count,ack_flag_count,fin_flag_count,rst_flag_count,psh_flag_count,urg_flag_count,packet_length_mean,packet_length_std,flow_iat_mean,flow_iat_std,conn_state,label
2026-01-15 10:00:00,0.22255270059106802,192.168.1.18,8.8.8.8,34572,53,UDP,7,23,2028,760,1,1,1,0,1,0,114.6672387487892,50.24591614079615,0.12438355851949626,0.03025602783223759,SF,BENIGN
2026-01-15 10:00:03,3.5364923705921565,192.168.1.23,8.8.8.8,49309,443,TCP,5,10,2031,3287,1,1,1,0,3,0,137.52741493035916,144.43769938688155,0.07395296357139908,0.009173562952106657,SF,BENIGN
2026-01-15 10:00:04,4.252722395102553,192.168.1.18,10.0.0.1,53911,443,TCP,17,7,1500,7294,1,1,1,0,3,0,293.62029374500196,111.59433870794005,0.01870663289457582,0.01525542240431961,SF,BENIGN
2026-01-15 10:00:06,0.4909806869257748,192.168.1.17,10.0.0.1,42455,443,TCP,16,10,1816,3410,1,1,1,0,2,0,327.96481451974654,111.23664074961168,0.1398740564519668,0.008213112931034675,SF,BENIGN
2026-01-15 10:00:08,2.7172853974455693,192.168.1.17,8.8.8.8,42433,443,TCP,12,15,529,2376,1,1,1,0,1,0,377.8669462853493,72.15142231290275,0.022575834990193975,0.046091125588349525,SF,BENIGN
2026-01-15 10:00:10,3.6177799265229824,192.168.1.16,10.0.0.1,42964,53,TCP,13,9,1310,6602,1,1,1,0,3,0,356.39511031133543,75.69639754829535,0.12087125573967468,0.021289839967112496,SF,BENIGN
2026-01-15 10:00:13,0.7778255499651938,192.168.1.25,8.8.8.8,31543,80,UDP,10,18,560,3652,1,1,1,0,4,0,300.4787184936174,80.84648541200804,0.057768682796544506,0.02989516532968794,SF,BENIGN
2026-01-15 10:00:15,3.433388710256941,192.168.1.13,10.0.0.1,47595,443,TCP,15,8,1502,4061,1,1,1,0,2,0,247.87777134180638,143.9960705777404,0.1764120586718569,0.016852507283799084,SF,BENIGN
2026-01-15 10:00:16,0.9753942145976437,192.168.1.13,10.0.0.1,39779,53,TCP,11,9,1831,6746,1,1,1,0,2,0,279.57024114426156,121.22144222197257,0.11076719771708372,0.005025735325757458,SF,BENIGN
2026-01-15 10:00:18,0.1954360376905783,192.168.1.21,10.0.0.1,57252,443,TCP,12,23,622,1201,1,1,1,0,4,0,381.92860376543274,147.13798417805344,0.11121417221060798,0.01065922301841986,SF,BENIGN
2026-01-15 10:00:20,4.739558530554455,192.168.1.15,8.8.8.8,58587,53,TCP,11,22,1123,6340,1,1,1,0,3,0,227.62715099904878,107.3193047529768,0.08094989548056582,0.04548263380893255,SF,BENIGN
2026-01-15 10:00:22,1.314737506963439,192.168.1.12,10.0.0.1,49277,53,TCP,12,5,590,6298,1,1,1,0,1,0,164.7084600101271,137.70460169079664,0.17333072604821184,0.008188580744989404,SF,BENIGN
2026-01-15 10:00:24,3.3779911136517753,192.168.1.16,10.0.0.1,53702,53,TCP,12,20,1967,2059,1,1,1,0,1,0,115.86440126466462,76.03665371282908,0.09047993837378494,0.026016110061650378,SF,BENIGN
2026-01-15 10:00:27,3.399486281737178,192.168.1.13,8.8.8.8,53862,443,TCP,8,12,1084,2058,1,1,1,0,4,0,131.86744992506655,43.85344465234033,0.0978993329961838,0.0443518679331761,SF,BENIGN
2026-01-15 10:00:28,4.059308999185343,192.168.1.13,8.8.8.8,47713,80,TCP,12,10,1964,4478,1,1,1,0,4,0,159.08650070369723,72.13523803142884,0.021140725994713998,0.02205379035396123,SF,BENIGN
